Date,ClosingPrice,Volume
18/9/2018,1941.050049,4268700
19/9/2018,1926.420044,4056800
20/9/2018,1944.300049,3154900
21/9/2018,1915.01001,6855900
24/9/2018,1934.359985,4213700
25/9/2018,1974.550049,4538400
26/9/2018,1974.849976,4313500
27/9/2018,2012.97998,4329400
28/9/2018,2003,4085100
1/10/2018,2004.359985,3460500
2/10/2018,1971.310059,5400700
3/10/2018,1952.76001,5253100
4/10/2018,1909.420044,7257000
5/10/2018,1889.650024,6822300
8/10/2018,1864.420044,7393200
9/10/2018,1870.319946,4772900
10/10/2018,1755.25,10988900
11/10/2018,1719.359985,13935900
12/10/2018,1788.609985,9444600
15/10/2018,1760.949951,6437200
16/10/2018,1819.959961,5859900
17/10/2018,1831.72998,5295200
18/10/2018,1770.719971,5874000
19/10/2018,1764.030029,5907200
22/10/2018,1789.300049,4500000
23/10/2018,1768.699951,6723900
24/10/2018,1664.199951,6928400
25/10/2018,1782.170044,10285700
26/10/2018,1642.810059,14963800
29/10/2018,1538.880005,13866100
30/10/2018,1530.420044,12460100
31/10/2018,1598.01001,9390200
1/11/2018,1665.530029,8135500
2/11/2018,1665.530029,6955500
5/11/2018,1627.800049,5624700
6/11/2018,1642.810059,4257400
7/11/2018,1755.48999,8192200
8/11/2018,1754.910034,6534900
9/11/2018,1712.430054,5902200
12/11/2018,1636.849976,6806200
13/11/2018,1631.170044,5933300
14/11/2018,1599.01001,6486900
15/11/2018,1619.439941,8427300
16/11/2018,1593.410034,6066100
19/11/2018,1512.290039,7790000
20/11/2018,1495.459961,10878800
21/11/2018,1516.72998,5716800
23/11/2018,1502.060059,2707600
26/11/2018,1581.329956,6257700
27/11/2018,1581.420044,5783200
28/11/2018,1677.75,8458700
29/11/2018,1673.569946,6613200
30/11/2018,1690.170044,5761800
3/12/2018,1772.359985,6862300
4/12/2018,1668.400024,8694500
6/12/2018,1699.189941,8789400
7/12/2018,1629.130005,7576100
10/12/2018,1641.030029,7494800
11/12/2018,1643.23999,6244700
12/12/2018,1663.540039,6598000
13/12/2018,1658.380005,5271300
14/12/2018,1591.910034,6367200
17/12/2018,1520.910034,8829800
18/12/2018,1551.47998,6523000
19/12/2018,1495.079956,8792200
20/12/2018,1460.829956,9991800
21/12/2018,1377.449951,13640300
24/12/2018,1343.959961,7220000
26/12/2018,1470.900024,10411800
27/12/2018,1461.640015,9722000
28/12/2018,1478.02002,8829000
31/12/2018,1501.969971,6954500
2/1/2019,1539.130005,7983100
3/1/2019,1500.280029,6975600
4/1/2019,1575.390015,9182600
7/1/2019,1629.51001,7993200
8/1/2019,1656.579956,8881400
9/1/2019,1659.420044,6348800
10/1/2019,1656.219971,6507700
11/1/2019,1640.560059,4686200
14/1/2019,1617.209961,6005900
15/1/2019,1674.560059,5998500
16/1/2019,1683.780029,6366900
17/1/2019,1693.219971,4208900
18/1/2019,1696.199951,6020500
22/1/2019,1632.170044,6416800
23/1/2019,1640.02002,5225200
24/1/2019,1654.930054,4089900
25/1/2019,1670.569946,4945900
28/1/2019,1637.890015,4837700
29/1/2019,1593.880005,4632800
